loss,accuracy,val_loss,val_accuracy
0.3180156946182251,0.870045006275177,0.22436527907848358,0.9017502665519714
0.21715527772903442,0.9174195528030396,0.20540142059326172,0.9127187728881836
0.19306565821170807,0.9277546405792236,0.19615864753723145,0.9194865822792053
0.18827082216739655,0.9275212287902832,0.17670594155788422,0.9304550886154175
0.1739613562822342,0.934389054775238,0.18121252954006195,0.9220536947250366
0.1646145135164261,0.9379896521568298,0.19151487946510315,0.9208868145942688
0.16333496570587158,0.9388898015022278,0.24989548325538635,0.9029171466827393
0.15235348045825958,0.9419569969177246,0.18771156668663025,0.9190198183059692
0.14002671837806702,0.9486247897148132,0.21649900078773499,0.9283547401428223
0.13526009023189545,0.950491726398468,0.20729950070381165,0.9278879761695862
0.13421966135501862,0.9495915770530701,0.2164640724658966,0.9124854207038879
0.14542794227600098,0.947424590587616,0.22055532038211823,0.9213535785675049
0.12779958546161652,0.9528254866600037,0.20163053274154663,0.9313885569572449
0.11651714146137238,0.9568927884101868,0.19197234511375427,0.9225203990936279
0.12290223687887192,0.9537256360054016,0.22469455003738403,0.9218202829360962
0.11329926550388336,0.9587264657020569,0.1942867934703827,0.930221676826477
0.11925643682479858,0.9562260508537292,0.19967782497406006,0.9276546239852905
0.1012326255440712,0.9635939598083496,0.2269481122493744,0.9316219091415405
0.10269144922494888,0.9625937938690186,0.20287376642227173,0.9341890215873718
0.09286515414714813,0.9655942916870117,0.221784770488739,0.925787627696991
0.12165822088718414,0.9573928713798523,0.2302686870098114,0.9334889054298401
