loss,accuracy,val_loss,val_accuracy
0.4367201626300812,0.8665111064910889,0.33537185192108154,0.8767794370651245
0.20130479335784912,0.9243206977844238,0.1826385259628296,0.9295215606689453
0.17389431595802307,0.9353892207145691,0.17502911388874054,0.930221676826477
0.1692763715982437,0.9360226988792419,0.25784042477607727,0.9082847237586975
0.2670106887817383,0.8878479599952698,0.22148096561431885,0.9213535785675049
0.19413697719573975,0.9275546073913574,0.15750348567962646,0.9442240595817566
0.1507367491722107,0.9438239932060242,0.13453637063503265,0.9479579925537109
0.1484828144311905,0.9451908469200134,0.1684427112340927,0.9316219091415405
0.1435481458902359,0.945690929889679,0.16361325979232788,0.9409568309783936
0.14632780849933624,0.9464910626411438,0.15435680747032166,0.9400233626365662
0.13972947001457214,0.9476246237754822,0.13478983938694,0.9502916932106018
0.13533738255500793,0.9495915770530701,0.2942643165588379,0.9061843752861023
0.15889526903629303,0.9412568807601929,0.12609568238258362,0.9528588056564331
0.250131219625473,0.9040840268135071,0.15304501354694366,0.9409568309783936
0.16852745413780212,0.9371562004089355,0.15180549025535583,0.9407234787940979
0.1379527598619461,0.9482913613319397,0.1222863644361496,0.9502916932106018
0.12467052042484283,0.9531588554382324,0.12449183315038681,0.9521586894989014
0.12806718051433563,0.9529255032539368,0.12788167595863342,0.952392041683197
0.11751046776771545,0.955559253692627,0.12303183227777481,0.9526254534721375
0.12935370206832886,0.9550924897193909,0.19277076423168182,0.9327887892723083
0.14154212176799774,0.9468244910240173,0.14108248054981232,0.9416569471359253
